Provinsi/Kabupaten/Kota,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,,,,,,,,,
,,Laki-laki,,,,,Perempuan,,,,,,
529,Boven Digoel,90.03,87.59,89.41,89.88,85.94,69.55,58.68,58.8,67.25,62.89,,
530,Mappi,89.78,83.21,80.11,78.7,79.66,65.08,53.9,47.58,43.58,40.53,,
531,Asmat,86.43,91.77,87.89,89.4,85.65,78.55,75.85,75.28,72.72,74.9,,
532,Yahukimo,90.99,92.68,92.9,93.93,95.42,78.94,70.93,78.07,76.23,85.49,,
533,Pegunungan Bintang,90.05,93.31,87.77,90.72,87.51,84.01,87.96,84.92,84.64,94.15,,
534,Tolikara,95.1,92.17,92.72,91.52,89.57,95.57,91.96,93.18,89.57,89.18,,
535,Sarmi,85.41,79.42,83.31,79.92,81.46,55.5,43.03,47.88,55.12,54.19,,
536,Keerom,87.6,87.81,86.95,87.51,87.29,57.04,62.39,64.48,64.04,59.58,,
537,Waropen,80.2,82.07,81,80.48,82.69,35.01,33.21,38.33,30.71,29.72,,
538,Supiori,77.28,83.04,77.99,77.48,76.36,37.99,50.82,60.38,59.42,46.08,,
539,Mamberamo Raya,87.92,89.04,78.41,90.84,86.58,48.45,52.6,44.22,41.91,38.89,,
540,Nduga,91.27,97,95.44,97.05,94.03,93.52,93.58,97.24,99,91.11,,
541,Lanny Jaya,93.32,90.93,29.01,93.92,97.72,92.29,94.81,45.32,97.71,97.32,,
542,Mamberamo Tengah,95.23,89.6,68.94,95.56,95.5,96.18,97.04,93.56,96.17,98.28,,
543,Yalimo,85.02,90.17,89.46,93.58,90.8,87.7,89.15,88.49,93.8,89.96,,
544,Puncak,93.82,87.25,88.78,91.25,98.55,94.54,70.9,82.79,87.4,96.26,,
545,Dogiyai,88.34,91.57,84.49,84.39,79.72,84.09,88.72,80.51,72.18,83.96,,
546,Intan Jaya,83.51,88.11,82.57,84.46,88.3,64.56,76.61,55.57,67.01,71.57,,
547,Deiyai,91.2,91.25,89.76,90.8,84.07,88.42,93.97,89.54,78.86,58.49,,
548,Kota Jayapura,73.72,75.3,74.26,75.02,70.18,52.18,48.15,50.07,50.7,49.59,,

